rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
RXN-18528	coenzyme F420:CoB-CoM heterosulfide,ferredoxin reductase	1.8.98.4	NA									|PWY-7866|	no_blast	NA	rxn43076 	Subunit 1	0	NA
RXN-18528	coenzyme F420:CoB-CoM heterosulfide,ferredoxin reductase	1.8.98.4	NA									|PWY-7866|	no_blast	NA	rxn43076 	Subunit 2	0	NA
RXN-18528	coenzyme F420:CoB-CoM heterosulfide,ferredoxin reductase	1.8.98.4	NA									|PWY-7866|	no_blast	NA	rxn43076 	Subunit 3	0	NA
RXN-18521	H2:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.5	NA									|PWY-7867|	no_blast	NA	rxn42401 	Subunit 1	0	NA
RXN-18521	H2:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.5	NA									|PWY-7867|	no_blast	NA	rxn42401 	Subunit 2	0	NA
RXN-18521	H2:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.5	NA									|PWY-7867|	no_blast	NA	rxn42401 	Subunit 3	0	NA
RXN-18521	H2:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.5	NA									|PWY-7867|	no_blast	NA	rxn42401 	Subunit 4	0	NA
RXN-18521	H2:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.5	NA									|PWY-7867|	no_blast	NA	rxn42401 	Subunit 7	0	NA
RXN-18521	H2:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.5	NA									|PWY-7867|	no_blast	NA	rxn42401 	Subunit undefined	0	NA
RXN-18521	H2:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.5	NA									|PWY-7867|	no_blast	NA	rxn42401 	NA	0	NA
RXN-18529	formate:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.6	NA									|PWY-7868|	no_blast	NA	rxn47799 	Subunit 1	0	NA
RXN-18529	formate:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.6	NA									|PWY-7868|	no_blast	NA	rxn47799 	Subunit 2	0	NA
RXN-18529	formate:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.6	NA									|PWY-7868|	no_blast	NA	rxn47799 	Subunit undefined	0	NA
RXN-18529	formate:CoB-CoM heterodisulfide,ferredoxin reductase	1.8.98.6	NA									|PWY-7868|	no_blast	NA	rxn47799 	NA	0	NA
RXN-18558	3-alkyl-4-alkyloxetan-2-one decarboxylase	4.1.1.114	NA									|PWY-7869|	no_seq_data	NA	 	NA	0	NA
RXN-18557	3-alkyl-4-acyloxetan-2-one synthetase	6.1.3.1	NA									|PWY-7869|	no_seq_data	NA	 	NA	0	NA
RXN-18556	2-alkyl-3-oxo-fatty acid reductase	1.1.1.412	NA	UniRef50_A0A812AE55	26.239	8.18e-16	75.9	97	scaffold00001	244777	245715	|PWY-7869|	bad_blast	NA	 	NA	0	NA
RXN-18555	acyl-CoA:acyl-CoA alkyltransferase	2.3.3.20	NA									|PWY-7869|	no_seq_data	NA	 	NA	0	NA
RXN-18586	S-sulfo-L-cysteine reductase	1.8.4.2	NA	UniRef50_A0A1F2P433	39.773	1.42e-18	76.6	82	scaffold00003	70333	70076	|PWY-7870|	bad_blast	NA	rxn06256 rxn06527 rxn08670 rxn11967 rxn20612 rxn20613 	NA	0	NA
SULFOCYS-RXN	S-sulfo-L-cysteine synthase	2.5.1.144	NA									|PWY-7870|	no_seq_data	NA	 	NA	0	NA
SERINE-O-ACETTRAN-RXN	serine acetyltransferase	2.3.1.30		UniRef50_A0A3S3QXA3	46.863	2.53e-80	263	85	scaffold00011	79282	80082	|PWY-7870|	good_blast	NA	rxn00423 rxn33958 	NA	0	1
PRODISULFREDUCT-A-RXN	PRODISULFREDUCT-A-RXN		NA									|PWY-7870|	spontaneous	NA	 	NA	0	NA
RXN-18596	D-threonate 4-kinase	2.7.1.219	NA									|PWY-7871|	no_blast	NA	 	NA	0	NA
RXN-18588	3-dehydro-4-phospho-D-threonate decarboxylase	4.1.1.104	NA									|PWY-7871|	no_seq_data	NA	 	NA	0	NA
RXN-18599	4-phospho-D-tetronate 3-dehydrogenase	1.1.1.408	NA									|PWY-7871|	no_blast	NA	 	NA	0	NA
RXN-18597	D-erythronate 4-kinase	2.7.1.220	NA									|PWY-7872|	no_seq_data	NA	 	NA	0	NA
RXN-18598	4-phospho-D-erythronate 3-dehydrogenase	1.1.1.409	NA									|PWY-7872|	no_seq_data	NA	 	NA	0	NA
RXN-18589	3-dehydro-4-phospho-D-erythronate decarboxylase	4.1.1.104	NA									|PWY-7872|	no_seq_data	NA	 	NA	0	NA
RXN-18589	3-dehydro-4-phospho-D-erythronate decarboxylase	4.1.1.104	NA									|PWY-7873|	no_seq_data	NA	 	NA	0	NA
RXN-18591	D-erythronate 2-dehydrogenase	1.1.1.410	NA									|PWY-7873|	no_seq_data	NA	 	NA	0	NA
RXN-18593	2-dehydro-L-threonate isomerase	5.3.1.35	NA									|PWY-7873|	no_seq_data	NA	 	NA	0	NA
RXN-18594	3-dehydro-L-threonate 4-kinase	2.7.1.217	NA									|PWY-7873|	no_seq_data	NA	 	NA	0	NA
RXN-18590	L-threonate dehydrogenase	1.1.1.411	NA									|PWY-7874|	no_seq_data	NA	 	NA	0	NA
RXN-18592	2-dehydro-D-threonate isomerase	5.3.1.35	NA									|PWY-7874|	no_seq_data	NA	 	NA	0	NA
RXN-18595	3-dehydro-D-threonate 4-kinase	2.7.1.217	NA									|PWY-7874|	no_seq_data	NA	 	NA	0	NA
RXN-18588	3-dehydro-4-phospho-D-threonate decarboxylase	4.1.1.104	NA									|PWY-7874|	no_seq_data	NA	 	NA	0	NA
RXN-18614	2-oxo-3-(phosphooxy)propyl 8-methyl-3-oxononanoate synthase	2.3.1.277	NA									|PWY-7878|	no_seq_data	NA	 	NA	0	NA
RXN-18613	RXN-18613		NA									|PWY-7878|	spontaneous	NA	 	NA	0	NA
RXN-18612	[4-(6-methylheptanoyl)-5-oxo-2H-furan-3-yl]methyl phosphate reductase	1.3.1.113	NA									|PWY-7878|	no_seq_data	NA	 	NA	0	NA
RXN-18611	RXN-18611		NA									|PWY-7878|	no_seq_data	NA	 	NA	0	NA
RXN-18628	5-hydroxydodecatetraenal polyketide synthase	2.3.1.281	NA									|PWY-7880|	no_seq_data	NA	 	NA	0	NA
RXN-18629	RXN-18629		NA									|PWY-7880|	no_seq_data	NA	 	NA	0	NA
RXN-18630	RXN-18630		NA									|PWY-7880|	no_seq_data	NA	 	NA	0	NA
RXN-18631	RXN-18631		NA									|PWY-7880|	no_seq_data	NA	 	NA	0	NA
RXN-18632	RXN-18632		NA									|PWY-7880|	no_seq_data	NA	 	NA	0	NA
RXN-18633	RXN-18633		NA									|PWY-7880|	no_seq_data	NA	 	NA	0	NA
RXN-18634	RXN-18634		NA									|PWY-7880|	no_seq_data	NA	 	NA	0	NA
RXN-18635	RXN-18635		NA									|PWY-7880|	no_seq_data	NA	 	NA	0	NA
RXN-18636	RXN-18636		NA									|PWY-7880|	no_seq_data	NA	 	NA	0	NA
RXN-18637	RXN-18637		NA									|PWY-7880|	no_seq_data	NA	 	NA	0	NA
RXN-18638	5-hydroxydodecatetraenal 1-aminotransferase	2.6.1.115	NA									|PWY-7880|	no_seq_data	NA	 	NA	0	NA
RXN-18648	2-oxo-3-(phosphooxy)propyl 3-oxoalkanoate synthase	2.3.1.277	NA									|PWY-7881|	no_seq_data	NA	 	NA	0	NA
RXN-18651	RXN-18651		NA									|PWY-7881|	no_seq_data	NA	 	NA	0	NA
RXN-18652	RXN-18652		NA									|PWY-7881|	no_seq_data	NA	 	NA	0	NA
RXN-18650	4-(hydroxymethyl)-3-(alkanoyl)-5H-furan-2-one reductase		NA									|PWY-7881|	no_seq_data	NA	 	NA	0	NA
RXN-18649	(4R)-4-(hydroxymethyl)-3-(alkanoyl)oxolan-2-one reductase	1.1.1.413	NA									|PWY-7881|	no_seq_data	NA	 	NA	0	NA
RXN-18648	2-oxo-3-(phosphooxy)propyl 3-oxoalkanoate synthase	2.3.1.277	NA									|PWY-7882|	no_seq_data	NA	 	NA	0	NA
RXN-18653	RXN-18653		NA									|PWY-7882|	spontaneous	NA	 	NA	0	NA
RXN-18654	[4-alkanoyl-5-oxo-2H-furan-3-yl]methyl phosphate reductase	1.3.1.113	NA									|PWY-7882|	no_seq_data	NA	 	NA	0	NA
RXN-18655	RXN-18655		NA									|PWY-7882|	no_seq_data	NA	 	NA	0	NA
RXN-18656	A-factor type gamma-butyrolactone 6-reductase (6R-forming)		NA									|PWY-7882|	no_seq_data	NA	 	NA	0	NA
RXN0-4621	anhydro-N-acetylmuramic acid kinase	2.7.1.170	NA									|PWY-7883|	no_blast	NA	rxn16484 	NA	0	NA
RXN0-5226	beta-N-acetylhexosaminidase	3.2.1.52/3.2.1.29/3.2.1.30	NA									|PWY-7883|	no_blast	NA	rxn00016 rxn02495 rxn02922 rxn06737 rxn07001 rxn07061 rxn15005 rxn15406 rxn15451 rxn15478 rxn17969 rxn21998 rxn23055 rxn23056 rxn26149 rxn31349 rxn31350 rxn35564 rxn35581 rxn38527 	NA	0	NA
RXN0-5225	N-acetylmuramoyl-L-alanine amidase	3.5.1.28/3.4.19.10	NA									|PWY-7883|	no_blast	NA	rxn02875 rxn18147 rxn26147 	NA	0	NA
RXN0-5227	muramoyltetrapeptide carboxypeptidase	3.4.17.13	NA									|PWY-7883|	no_blast	NA	rxn08926 rxn08927 rxn08928 rxn08929 rxn08930 rxn18066 rxn26150 	NA	0	NA
RXN0-2361	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase	6.3.2.45	NA									|PWY-7883|	no_seq_data	NA	 	NA	0	NA
RXN-18659	N-acetyl-beta-muramate 6-phosphate phosphatase	3.1.3.105	NA									|PWY-7883|	no_seq_data	NA	 	NA	0	NA
RXN-18660	N-acetyl-D-muramate 1-kinase	2.7.1.221	NA									|PWY-7883|	no_seq_data	NA	 	NA	0	NA
RXN-18661	N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase	2.7.7.99	NA									|PWY-7883|	no_seq_data	NA	 	NA	0	NA
RXN0-20	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase	2.5.1.145	NA	UniRef50_A0A1S6HEI9	26.201	4.97e-15	71.6	80	scaffold00008	51415	50738	|PWY-7884|	bad_blast	NA	 	NA	0	NA
RXN-17363	apolipoprotein N-acyltransferase	2.3.1.269	NA									|PWY-7884|	no_blast	NA	 	NA	0	NA
RXN-17362	prolipoprotein signal peptidase	3.4.23.36/3.4.4.22	NA	UniRef50_A0A1Q6QJP5	45.205	1.59e-30	114	81	scaffold00007	105546	105983	|PWY-7884|	bad_blast	NA	rxn18136 	NA	0	NA
RXN0-3201	lipoprotein signal peptide peptidase		NA									|PWY-7884|	no_seq_data	NA	 	NA	0	NA
2.4.1.57-RXN	phosphatidylinositol 2-alpha-mannosyltransferase	2.4.1.345	NA									|PWY-7885|	no_blast	NA	 	NA	0	NA
RXN-18608	phosphatidylinositol mannoside acyltransferase	2.3.1.265	NA									|PWY-7885|	no_blast	NA	 	NA	0	NA
RXN-18607	phosphatidyl-myo-inositol dimannoside synthase	2.4.1.346	NA									|PWY-7885|	no_blast	NA	 	NA	0	NA
RXN-18609	phosphatidylinositol dimannoside acyltransferase	2.3.1.265	NA									|PWY-7885|	no_seq_data	NA	 	NA	0	NA
RXN-18610	phosphatidyl-myo-inositol dimannoside synthase	2.4.1.346	NA									|PWY-7885|	no_blast	NA	 	NA	0	NA
RXN-18680	phosphatidylinositol dimannoside mannosyltransferase		NA									|PWY-7885|	no_blast	NA	 	NA	0	NA
RXN-18681	RXN-18681		NA									|PWY-7885|	no_seq_data	NA	 	NA	0	NA
RXN-18682	phosphatidylinositol tetramannoside alpha-(1-2)-mannosyltransferase		NA									|PWY-7885|	no_seq_data	NA	 	NA	0	NA
RXN-18683	RXN-18683		NA									|PWY-7885|	no_seq_data	NA	 	NA	0	NA
RXN-18684	polyprenyl-phosphate beta-D-mannosyltransferase		NA									|PWY-7885|	no_seq_data	NA	 	NA	0	NA
CHOLINE-KINASE-RXN	choline kinase	2.7.1.32	NA	UniRef50_A0A2Z4L7Y1	43.860	2.32e-53	182	95	scaffold00039	6127	6804	|PWY-7886|	bad_blast	NA	rxn00751 	NA	0	NA
2.7.7.15-RXN	choline-phosphate cytidylyltransferase	2.7.7.15	NA									|PWY-7886|	no_blast	NA	rxn01380 rxn01885 	NA	0	NA
RXN-18687	lipopolysaccharide cholinephosphotransferase		NA	UniRef50_A0A125RDG7	31.250	9.55e-34	127	94	scaffold00010	33913	33134	|PWY-7886|	bad_blast	NA	 	NA	0	NA
RXN-18693	tRNA 2-thiolation protein	2.8.1.13		UniRef50_A0A136NYJ3	42.236	2.71e-74	247	89	scaffold00001	243331	242405	|PWY-7887|	good_blast	NA	 	NA	0	1
RXN-18693	tRNA 2-thiolation protein	2.8.1.13		UniRef50_A0A136NYJ3	41.176	1.32e-63	216	84	scaffold00027	43680	44546	|PWY-7887|	good_blast	NA	 	NA	0	1
RXN-18693	tRNA 2-thiolation protein	2.8.1.13		UniRef50_A0A3C0QBP2	33.791	2.95e-59	205	91	scaffold00001	243328	242264	|PWY-7887|	good_blast	NA	 	NA	0	1
RXN-18691	RXN-18691		NA									|PWY-7887|	no_seq_data	NA	 	NA	0	NA
RXN-18689	E1 SAMP-activating enzyme	2.7.7.100	NA									|PWY-7887|	no_blast	NA	 	NA	0	NA
RXN-18690	E1 SAMP-activating enzyme	6.2.1.55	NA									|PWY-7887|	no_blast	NA	 	NA	0	NA
RXN-18692	SAMP transferase		NA									|PWY-7887|	no_blast	NA	 	NA	0	NA
RXN-18694	molybdopterin synthase	2.8.1.12	NA									|PWY-7887|	no_blast	NA	rxn24830 	NA	0	NA
RXN-12461	tRNA (carboxymethyluridine34-5-O)-methyltransferase	2.1.1.229	NA									|PWY-7888|	no_blast	NA	rxn22924 	NA	0	NA
RXN-18699	tRNA-5-(2-methoxy-2-oxoethyl)uridine 2-sulfurtransferase		NA									|PWY-7888|	no_seq_data	NA	 	NA	0	NA
RXN-18701	URM1 sulfurtransferase		NA									|PWY-7888|	no_seq_data	NA	 	NA	0	NA
RXN-18700	URM1 adenylyltransferase		NA									|PWY-7888|	no_blast	NA	 	NA	0	NA
RXN-18704	TUM1:MOCS3 sulfurtransferase		NA									|PWY-7888|	no_seq_data	NA	 	NA	0	NA
RXN-18705	cysteine desulfurase:TUM1 sulfurtransferase		NA									|PWY-7888|	no_seq_data	NA	 	NA	0	NA
RXN0-308	cysteine desulfurase			UniRef90_P57795	62.141	8.80e-157	486	95	scaffold00008	95487	94339	|PWY-7888|	good_blast	NA	rxn07292 	NA	0	1
RXN0-308	cysteine desulfurase			UniRef90_P57795	43.717	4.55e-95	309	94	scaffold00015	67269	66124	|PWY-7888|	good_blast	NA	rxn07292 	NA	0	1
RXN0-308	cysteine desulfurase			UniRef90_P57795	41.927	1.15e-89	293	94	scaffold00075	2059	935	|PWY-7888|	good_blast	NA	rxn07292 	NA	0	1
RXN-16821	tRNA 2-thiouridylase	2.8.1.14	NA									|PWY-7889|	no_seq_data	NA	 	NA	0	NA
RXN-16822	5-taurinomethyluridine-[tRNA] synthase		NA									|PWY-7889|	no_seq_data	NA	 	NA	0	NA
RXN0-308	cysteine desulfurase			UniRef90_P57795	62.141	8.80e-157	486	95	scaffold00008	95487	94339	|PWY-7889|	good_blast	NA	rxn07292 	NA	0	1
RXN0-308	cysteine desulfurase			UniRef90_P57795	43.717	4.55e-95	309	94	scaffold00015	67269	66124	|PWY-7889|	good_blast	NA	rxn07292 	NA	0	1
RXN0-308	cysteine desulfurase			UniRef90_P57795	41.927	1.15e-89	293	94	scaffold00075	2059	935	|PWY-7889|	good_blast	NA	rxn07292 	NA	0	1
RXN-18705	cysteine desulfurase:TUM1 sulfurtransferase		NA									|PWY-7889|	no_seq_data	NA	 	NA	0	NA
RXN0-308	RXN0-308		NA									|PWY-7891|	no_seq_data	NA	 	NA	0	1
RXN-18705	cysteine desulfurase:TUM1 sulfurtransferase		NA									|PWY-7891|	no_seq_data	NA	 	NA	0	NA
RXN0-7068	5-carboxymethylaminomethyluridineuridine-[tRNA] synthase		NA									|PWY-7891|	no_seq_data	NA	 	NA	0	NA
RXN-18706	tRNA-5-carboxymethylaminomethyluridine 2-sulfurtransferase		NA									|PWY-7891|	no_seq_data	NA	 	NA	0	NA
RXN0-7081	5-aminomethyl-2-thiouridine synthase		NA									|PWY-7892|	no_seq_data	NA	 	NA	0	NA
RXN0-5144	5-methylaminomethyl-2-thiouridine-forming methyltransferase	2.1.1.61	NA	UniRef50_B2S125	30.601	5.48e-46	165	99	scaffold00001	243328	242255	|PWY-7892|	bad_blast	NA	rxn05868 rxn14216 rxn17424 rxn26124 	NA	0	NA
RXN0-2023	tRNA-specific 2-thiouridylase	2.8.1.13		UniRef50_A0A136NYJ3	42.236	2.71e-74	247	89	scaffold00001	243331	242405	|PWY-7892|	good_blast	NA	 	NA	0	1
RXN0-2023	tRNA-specific 2-thiouridylase	2.8.1.13		UniRef50_A0A136NYJ3	41.176	1.32e-63	216	84	scaffold00027	43680	44546	|PWY-7892|	good_blast	NA	 	NA	0	1
RXN0-2023	tRNA-specific 2-thiouridylase	2.8.1.13		UniRef50_A0A3C0QBP2	33.791	2.95e-59	205	91	scaffold00001	243328	242264	|PWY-7892|	good_blast	NA	 	NA	0	1
RXN0-308	L-cysteine:[protein cysteine] sulfurtransferase		NA									|PWY-7892|	no_seq_data	NA	 	NA	0	1
RXN-18707	IscS:TusA sulfurtransferase		NA									|PWY-7892|	no_seq_data	NA	 	NA	0	NA
RXN-18708	TusD:TusE sulfurtransferase		NA									|PWY-7892|	no_seq_data	NA	 	NA	0	NA
RXN-18709	TusA:TusD sulfurtransferase		NA									|PWY-7892|	no_seq_data	NA	 	NA	0	NA
RXN-18710	5-carboxymethylaminomethyluridine-tRNA synthase		NA									|PWY-7892|	no_seq_data	NA	 	NA	0	NA
RXN-20755	tRNA 2-selenouridine synthase	2.9.1.3	NA	UniRef50_A5UNS7	27.941	4.9	23.1	75	scaffold00014	41574	41374	|PWY-7892|	bad_blast	NA	 	NA	0	NA
RXN-20756	tRNA 2-selenouridine synthase	2.9.1.3	NA	UniRef50_A5UNS7	27.941	4.9	23.1	75	scaffold00014	41574	41374	|PWY-7892|	bad_blast	NA	 	NA	0	NA
RXN-20757	tRNA 2-selenouridine synthase	2.9.1.3	NA	UniRef50_A5UNS7	27.941	4.9	23.1	75	scaffold00014	41574	41374	|PWY-7892|	bad_blast	NA	 	NA	0	NA
RXN-16706	Pup deamidase	3.5.1.119	NA									|PWY-7893|	no_blast	NA	 	NA	0	NA
RXN-16707	prokaryotic ubiquitin-like protein ligase	6.3.1.19	NA									|PWY-7893|	no_blast	NA	 	NA	0	NA
RXN-16708	N6-([prokaryotic ubiquitin-like protein]-gamma-L-glutamyl)-[protein]-L-lysine hydrolase		NA									|PWY-7893|	no_seq_data	NA	 	NA	0	NA
PROCOLLAGEN-LYSINE-5-DIOXYGENASE-RXN	procollagen-lysine 5-dioxygenase	1.14.11.4	NA									|PWY-7894|	no_seq_data	NA	rxn06370 rxn20611 	NA	0	NA
PROCOLLAGEN-GALACTOSYLTRANSFERASE-RXN	procollagen galactosyltransferase	2.4.1.50	NA									|PWY-7894|	no_seq_data	NA	rxn02423 rxn20609 	NA	0	NA
PROCOLLAGEN-GLUCOSYLTRANSFERASE-RXN	procollagen glucosyltransferase	2.4.1.66	NA									|PWY-7894|	no_seq_data	NA	rxn06708 rxn20610 	NA	0	NA
3.2.1.107-RXN	protein-glucosylgalactosylhydroxylysine glucosidase	3.2.1.107	NA									|PWY-7894|	no_seq_data	NA	rxn06713 rxn15473 rxn15474 rxn17897 	NA	0	NA
1.14.11.2-RXN	prolyl 4-hydroxylase	1.14.11.2	NA									|PWY-7894|	no_blast	NA	rxn00932 rxn06346 rxn17063 rxn32280 	Subunit 1	0	NA
1.14.11.2-RXN	prolyl 4-hydroxylase	1.14.11.2	NA									|PWY-7894|	no_blast	NA	rxn00932 rxn06346 rxn17063 rxn32280 	Subunit undefined	0	NA
1.14.11.2-RXN	prolyl 4-hydroxylase	1.14.11.2	NA									|PWY-7894|	no_blast	NA	rxn00932 rxn06346 rxn17063 rxn32280 	NA	0	NA
PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN	prolyl 3-hydroxylase	1.14.11.7	NA									|PWY-7894|	no_seq_data	NA	rxn06345 	NA	0	NA
RXN-18711	ethionamide monooxygenase MymA		NA									|PWY-7895|	no_seq_data	NA	 	NA	0	NA
RXN-18712	ethionamide monooxygenase MymA		NA									|PWY-7895|	no_seq_data	NA	 	NA	0	NA
RXN-18713	ethionamide monooxygenase MymA		NA									|PWY-7895|	no_seq_data	NA	 	NA	0	NA
RXN-18714	RXN-18714		NA									|PWY-7895|	spontaneous	NA	 	NA	0	NA
RXN-18715	RXN-18715		NA									|PWY-7895|	spontaneous	NA	 	NA	0	NA
RXN-18721	isoniazide peroxidase		NA									|PWY-7896|	no_seq_data	NA	 	NA	0	NA
RXN-18722	RXN-18722		NA									|PWY-7896|	spontaneous	NA	 	NA	0	NA
RXN-18724	phloretin 3'-C-glucosyltransferase	2.4.1.360	NA									|PWY-7897|	no_seq_data	NA	 	NA	0	NA
RXN-18725	nothofagin 5'-C-glucosyltransferase		NA									|PWY-7897|	no_seq_data	NA	 	NA	0	NA
RXN-18727	3-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane 5-C-glucosyltransferase		NA									|PWY-7897|	no_seq_data	NA	 	NA	0	NA
RXN-11685	2,4,4',6-tetrahydroxydibenzoylmethane 3-C-glucosyltransferase	2.4.1.360	NA									|PWY-7897|	no_seq_data	NA	 	NA	0	NA
RXN-11684	RXN-11684		NA									|PWY-7897|	spontaneous	NA	 	NA	0	NA
RXN-11686	RXN-11686		NA									|PWY-7897|	no_seq_data	NA	 	NA	0	NA
RXN-14076	2-hydroxynaringenin-6C-glucoside dehydratase		NA									|PWY-7897|	no_seq_data	NA	 	NA	0	NA
RXN-18730	RXN-18730		NA									|PWY-7897|	no_seq_data	NA	 	NA	0	NA
APIGNAR-RXN	Naringenin chalcone isomerase	5.5.1.6	NA									|PWY-7897|	no_seq_data	NA	rxn01769 rxn02075 rxn04411 rxn05083 rxn07780 rxn07785 rxn15378 rxn15672 rxn19170 rxn19287 rxn36668 rxn38044 rxn90086 	NA	0	NA
NARINGENIN-CHALCONE-SYNTHASE-RXN	NARINGENIN-CHALCONE-SYNTHASE-RXN	2.3.1.74/2.3.1.120	NA									|PWY-7897|	no_seq_data	NA	rxn01179 rxn04422 rxn07219 rxn07777 rxn07778 rxn07779 	NA	0	NA
4-COUMARATE--COA-LIGASE-RXN	4-COUMARATE--COA-LIGASE-RXN	6.2.1.12	NA	UniRef50_A0A1C8ZVG7	21.759	5.61e-12	65.5	80	scaffold00012	83169	81949	|PWY-7897|	bad_blast	NA	rxn01182 rxn01427 rxn01571 rxn01590 rxn01613 rxn04437 	NA	0	NA
RXN-14069	naringenin 2-hydroxylase	1.14.14.162/1.14.14.140	NA									|PWY-7897|	no_seq_data	NA	 	NA	0	NA
RXN-11468	phloretin synthase	2.3.1.74/2.3.1.120	NA									|PWY-7897|	no_seq_data	NA	rxn01179 rxn04422 rxn07219 rxn07777 rxn07778 rxn07779 	NA	0	NA
RXN-11467	4-coumaroyl-CoA reductase	1.3.1.117	NA									|PWY-7897|	no_seq_data	NA	 	NA	0	NA
RXN-18753	RXN-18753		NA									|PWY-7897|	spontaneous	NA	 	NA	0	NA
RXN-15367	4,4'-dithiodibutanoate disulfide reductase	1.8.1.20	NA									|PWY-7898|	no_seq_data	NA	 	NA	0	NA
RXN-15368	RXN-15368		NA									|PWY-7898|	no_seq_data	NA	 	NA	0	NA
RXN-15369	RXN-15369		NA									|PWY-7898|	no_seq_data	NA	 	NA	0	NA
RXN-18742	E1 NEDD8-activating enzyme	6.2.1.64	NA									|PWY-7899|	no_blast	NA	 	NA	0	NA
RXN-18741	E2 NEDD8-conjugating enzyme	2.3.2.34	NA									|PWY-7899|	no_seq_data	NA	 	NA	0	NA
RXN-18740	E3 NEDD8 transferase	2.3.2.32	NA									|PWY-7899|	no_seq_data	NA	 	NA	0	NA
PHOSPHOGLUCMUT-RXN	phosphoglucomutase	5.4.2.2/2.7.5.1	NA	UniRef90_Q68BJ6	29.310	5.05e-45	166	99	scaffold00001	246887	248224	|PWY-7900|	bad_blast	NA	rxn00704 rxn00778 rxn02379 rxn12204 rxn15115 rxn20583 	NA	0	NA
RXN-18305	alpha-maltose-1-phosphate synthase	2.4.1.342	NA									|PWY-7900|	no_blast	NA	 	NA	0	NA
RXN-13028	starch synthase (maltosyl-transferring)	2.4.99.16	NA									|PWY-7900|	no_blast	NA	rxn16840 rxn23328 	NA	0	NA
RXN-12960	maltokinase	2.7.1.175	NA									|PWY-7900|	no_blast	NA	rxn16790 rxn16791 rxn16792 	NA	0	NA
5.4.99.16-RXN	trehalose synthase	5.4.99.16		UniRef50_A0A0K2GH45	30.996	1.88e-61	217	87	scaffold00001	163301	164827	|PWY-7900|	good_blast	NA	rxn01134 rxn15225 rxn15226 	NA	0	1
5.4.99.16-RXN	trehalose synthase	5.4.99.16		UniRef50_A0A0K2GH45	28.467	2.13e-60	214	87	scaffold00004	163630	165159	|PWY-7900|	good_blast	NA	rxn01134 rxn15225 rxn15226 	NA	0	1
TREHALOSEPHOSPHA-RXN	trehalose-6-phosphate phosphatase	3.1.3.12	NA									|PWY-7900|	no_blast	NA	rxn02004 rxn26560 rxn26561 rxn26562 rxn26563 rxn26564 	NA	0	NA
RXN-761	alpha, alpha-trehalose-phosphate synthase [ADP-forming]	2.4.1.347	NA									|PWY-7900|	no_seq_data	NA	 	NA	0	NA
RXN-18777	1,4-alpha-glucan branching enzyme	2.4.1.18		UniRef90_Q6L2Z9	39.491	6.20e-153	489	98	scaffold00018	58566	56332	|PWY-7900|	good_blast	NA	rxn06095 rxn08605 rxn09399 rxn13710 rxn15595 rxn19859 rxn24365 rxn24407 rxn27910 rxn28348 rxn31229 	NA	0	1
RXN-18777	1,4-alpha-glucan branching enzyme	2.4.1.18		UniRef90_Q6L2Z9	40.931	1.71e-150	481	84	scaffold00003	144268	142412	|PWY-7900|	good_blast	NA	rxn06095 rxn08605 rxn09399 rxn13710 rxn15595 rxn19859 rxn24365 rxn24407 rxn27910 rxn28348 rxn31229 	NA	0	1
TYROSINE-N-MONOOXYGENASE-RXN	tyrosine N-monooxygenase	1.14.14.36/1.14.13.41	NA									|PWY-7901|	no_seq_data	NA	rxn00523 rxn03082 rxn04971 rxn11673 rxn13966 	NA	0	NA
RXN-7748	tyrosine N-monooxygenase	1.14.14.36/1.14.13.41	NA									|PWY-7901|	no_seq_data	NA	rxn00523 rxn03082 rxn04971 rxn11673 rxn13966 	NA	0	NA
RXN-7749	N,N-dihydroxy-L-tyrosine carboxy-lyase	1.14.14.36/1.14.13.41	NA									|PWY-7901|	no_seq_data	NA	rxn00523 rxn03082 rxn04971 rxn11673 rxn13966 	NA	0	NA
RXN-18756	RXN-18756	1.14.14.45	NA									|PWY-7901|	no_seq_data	NA	 	NA	0	NA
RXN-18757	RXN-18757	1.14.14.45	NA									|PWY-7901|	spontaneous	NA	 	NA	0	NA
RXN-18759	RXN-18759	3.4.19.16	NA									|PWY-7901|	no_seq_data	NA	 	NA	0	NA
RXN-18760	RXN-18760		NA									|PWY-7901|	no_seq_data	NA	 	NA	0	NA
